Date,link
"May 04, 2023 07:45 AM IST",https://www.moneycontrol.com/news/business/earnings/hdfc-q4-preview-net-interest-income-seen-rising-5-to-rs-4752-crore-10522351.html
"May 02, 2023 11:51 AM IST",https://www.moneycontrol.com/news/business/hdfc-kick-starts-1-billion-credila-sale-by-picking-jefferies-as-adviser-sources-say-10512341.html
"April 25, 2023 06:33 AM IST",https://www.moneycontrol.com/news/business/banks/hdfc-bank-to-acquire-20-or-more-stake-in-griha-pte-gets-singapore-regulatory-bodys-nod-10466881.html
"April 23, 2023 10:33 AM IST",https://www.moneycontrol.com/news/business/markets/eight-of-top-10-firms-lose-rs-1-17-lakh-cr-in-market-valuation-infosys-biggest-laggard-10460391.html
"April 24, 2023 07:18 AM IST",https://www.moneycontrol.com/news/business/hdfc-hdfc-bank-merger-why-rbi-clarification-is-a-relief-for-the-banking-major-10455141.html
"May 12, 2023 08:53 AM IST",https://www.moneycontrol.com/news/business/stocks/hdfc-bank-merger-rbis-regulatory-leeway-positive-for-stock-say-analysts-10455991.html
"April 21, 2023 07:22 PM IST",https://www.moneycontrol.com/news/business/rbi-allows-hdfc-bank-to-increase-the-shareholding-in-hdfc-life-and-hdfc-ergo-to-more-than-50-10454631.html
"April 18, 2023 06:25 AM IST",https://www.moneycontrol.com/news/business/hdfc-hdfc-bank-merger-to-be-completed-by-july-here-are-all-the-details-10426701.html
"April 14, 2023 12:35 PM IST",https://www.moneycontrol.com/news/business/markets/a-change-in-india-inc-corner-office-occupants-doesnt-really-matter-much-for-stock-prices-10411241.html
"April 09, 2023 10:29 AM IST",https://www.moneycontrol.com/news/business/stocks/mcap-of-eight-of-top-10-valued-firms-climbs-rs-82169-crore-last-week-hdfc-twins-sparkle-10383351.html
"April 09, 2023 06:54 AM IST",https://www.moneycontrol.com/news/business/economy/global-headwinds-to-slowdown-gdp-growth-india-resilient-than-many-large-economies-hdfc-chairman-parekh-10382611.html
"March 30, 2023 04:19 PM IST",https://www.moneycontrol.com/news/business/hdfc-bank-opens-500th-branch-in-tamil-nadu-10337271.html
"March 27, 2023 08:08 PM IST",https://www.moneycontrol.com/news/business/hdfc-plans-to-raise-rs-57000-crore-through-private-placement-ahead-of-merger-with-hdfc-bank-10318641.html
"March 20, 2023 10:02 PM IST",https://www.moneycontrol.com/news/business/economy/gold-rallies-rs-1400-to-touch-life-time-high-silver-zooms-rs-1860-10280271.html
"March 17, 2023 06:07 PM IST",https://www.moneycontrol.com/news/business/rbi-imposes-monetary-penalty-on-hdfc-for-rule-violations-10268211.html
"March 18, 2023 06:38 AM IST",https://www.moneycontrol.com/news/companies-2/hdfc-and-hdfc-bank-merger-approved-by-nclt-10266431.html
"March 17, 2023 01:10 PM IST",https://www.moneycontrol.com/news/business/hdfc-board-to-consider-raising-funds-by-ncds-on-march-27-10265721.html
"March 10, 2023 02:52 PM IST",https://www.moneycontrol.com/news/business/mc-exclusive-cultural-differences-not-to-impact-hdfc-hdfc-bank-merger-says-keki-mistry-10229001.html
"March 10, 2023 11:53 AM IST",https://www.moneycontrol.com/news/business/mc-exclusive-hdfcs-keki-mistry-cross-selling-housing-loans-growth-stronger-in-the-bank-10227531.html
"March 10, 2023 12:43 PM IST",https://www.moneycontrol.com/news/business/hdfc-hdfc-bank-merger-to-lead-to-bigger-growth-opportunity-will-not-take-executive-role-says-keki-mistry-10227311.html
"March 03, 2023 07:49 PM IST",https://www.moneycontrol.com/news/business/nclt-approves-the-merger-of-two-hdfc-units-10196831.html
"March 02, 2023 11:19 PM IST",https://www.moneycontrol.com/news/business/nclat-rejects-hdfc-plea-opposing-sale-of-ilfs-bkc-property-10190971.html
"March 02, 2023 06:02 PM IST",https://www.moneycontrol.com/news/business/mc-explainer-the-expanding-use-cases-of-indias-homegrown-unified-payments-system-10176331.html
"February 28, 2023 05:25 PM IST",https://www.moneycontrol.com/news/business/shareholders-approve-hdfc-hdfc-bank-merger-10173981.html
"February 26, 2023 12:08 PM IST",https://www.moneycontrol.com/news/business/markets/nine-of-top-10-firms-lose-rs-1-87-lakh-crore-in-market-valuation-hdfc-bank-ril-hit-hard-10161181.html
"February 21, 2023 07:42 AM IST",https://www.moneycontrol.com/news/business/announcements/fintech-saas-platform-mintoak-raises-20-million-led-by-paypal-ventures-10131661.html
"February 16, 2023 07:49 PM IST",https://www.moneycontrol.com/news/business/hdfc-raises-rs-25000-crore-through-ncds-10101181.html
"February 16, 2023 06:52 PM IST",https://www.moneycontrol.com/news/business/hdfc-rupay-credit-cards-can-now-be-used-for-upi-payments-10100901.html
"February 16, 2023 11:46 AM IST",https://www.moneycontrol.com/news/business/hdfc-prices-its-biggest-ever-rupee-bond-issue-10095801.html
"February 15, 2023 03:36 PM IST",https://www.moneycontrol.com/news/business/hdfc-plans-to-raise-rs-25000-crore-through-bonds-10089171.html
"February 15, 2023 08:45 AM IST",https://www.moneycontrol.com/news/business/stocks/hdfc-stock-has-all-buy-ratings-except-one-why-does-nuvama-say-hold-10082491.html
"February 09, 2023 08:23 PM IST",https://www.moneycontrol.com/news/business/stocks/contrarian-calls-adani-ports-faces-investors-wrath-after-hindenburg-report-but-finds-favour-with-analysts-10043421.html
"February 07, 2023 05:46 PM IST",https://www.moneycontrol.com/news/business/stocks/buy-hdfc-target-of-rs-3150-icici-direct-10021251.html
"February 05, 2023 03:26 PM IST",https://www.moneycontrol.com/news/business/stocks/buy-hdfc-target-of-rs-3225-sharekhan-10006751.html
"February 05, 2023 02:56 PM IST",https://www.moneycontrol.com/news/business/stocks/buy-hdfc-target-of-rs-3050-motilal-oswal-10006861.html
"February 03, 2023 06:16 PM IST",https://www.moneycontrol.com/news/business/stocks/buy-hdfc-target-of-rs-3000-prabhudas-lilladher-2-9994081.html
"February 03, 2023 10:18 AM IST",https://www.moneycontrol.com/news/business/stocks/hdfc-stock-price-rises-on-good-q3-motilal-oswal-expects-15-upside-9996521.html
"February 02, 2023 11:46 PM IST",https://www.moneycontrol.com/news/business/earnings/hdfc-consolidated-december-2022-net-sales-at-rs-41206-23-crore-up-31-66-y-o-y-9995091.html
